Waktu,Username,Pesan,Video ID,Video Title,Sentiment
0,@AdiSlamet-e5g,mantep,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Positive
0,@kesbangpolkotabatu2052,jam berapa mulainya,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Neutral - Discussion
0,@istyasukartini9751,Salam Pramuka Kakak,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
0,@YanMakmurHarefa,kesbangpol nias,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
0,@YanMakmurHarefa,mantap,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Positive
36,@asepzaenudin5375,mengikuti,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
43,@dyahsigit4528,Bismillah,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
86,@detra7127,Semangat pagi semua,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
135,@Juriah-ll1vj,juriah0810 hadit,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
137,@muchridhoi9991,hsdir,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
267,@yanpramasta7252,Bismillah..,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
291,@susiantosusianto-m3r,hader,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
336,@tatikrimbawati6665,ayoo semangat,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Positive
375,@tatikrimbawati6665,semangat Pramuka,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Positive
422,@yuliastutik4559,link belum dishare ya ?,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Negative
471,@gunawan-z9f,setda kota cirebon,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
482,@DewiKeisha86,Link daftar hadirnya donk Bapak Ibu admin,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Negative
584,@sukirmansos,Salam Pramuka,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
590,@vonnyfitriani9501,vonny fitriani,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
705,@suwarsitbjn581,HAAADIIRR,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
879,@suprianto-eh6jz,Suprianto. SM,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
950,@sriutami7817,"Sri utami, S.Pd. SMPN 1 Ngoro, hdir.",nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
958,@fitriyanipertanian.bangkal2631,Fitriyani S.Agr. Dinas Peternakan dan Kesehatanupaten Hewan Kabangkalan,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1014,@sugiarto2303,Sugiarto AE ,nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Attendance / Greeting
1046,@maulpuem,"kami pramuka indonesia, manusia pancasila",nZ0a-M3_81w,"ASN Belajar Seri 28 | 2026 - Pramuka untuk Negeri: Menumbuhkan Jiwa Melayani, Memimpin dan Mengabdi",Positive
